# Longitute	Latitude  	x in sim  	y in sim  	Row in arr	Col in arr
8.518236	47.355809	85.250000	94.250000	170.000000	299.000000
8.518242	47.355804	85.750000	93.750000	171.000000	300.000000
8.518249	47.355800	86.250000	93.250000	172.000000	301.000000
8.518255	47.355795	86.750000	92.750000	173.000000	302.000000
8.518262	47.355791	87.250000	92.250000	174.000000	303.000000
8.518268	47.355786	87.750000	91.750000	175.000000	304.000000
8.518275	47.355781	88.250000	91.250000	176.000000	305.000000
8.518281	47.355777	88.750000	90.750000	177.000000	306.000000
8.518288	47.355772	89.250000	90.250000	178.000000	307.000000
8.518294	47.355768	89.750000	89.750000	179.000000	308.000000
8.518301	47.355768	90.250000	89.750000	180.000000	308.000000
8.518308	47.355763	90.750000	89.250000	181.000000	309.000000
8.518314	47.355759	91.250000	88.750000	182.000000	310.000000
8.518321	47.355754	91.750000	88.250000	183.000000	311.000000
8.518327	47.355750	92.250000	87.750000	184.000000	312.000000
8.518334	47.355749	92.750000	87.750000	185.000000	312.000000
8.518340	47.355745	93.250000	87.250000	186.000000	313.000000
8.518347	47.355745	93.750000	87.250000	187.000000	313.000000
8.518353	47.355740	94.250000	86.750000	188.000000	314.000000
8.518360	47.355736	94.750000	86.250000	189.000000	315.000000
8.518367	47.355736	95.250000	86.250000	190.000000	315.000000
8.518373	47.355736	95.750000	86.250000	191.000000	315.000000
8.518380	47.355736	96.250000	86.250000	192.000000	315.000000
8.518386	47.355735	96.750000	86.250000	193.000000	315.000000
8.518393	47.355735	97.250000	86.250000	194.000000	315.000000
8.518400	47.355731	97.750000	85.750000	195.000000	316.000000
8.518406	47.355731	98.250000	85.750000	196.000000	316.000000
8.518413	47.355731	98.750000	85.750000	197.000000	316.000000
8.518419	47.355731	99.250000	85.750000	198.000000	316.000000
8.518426	47.355731	99.750000	85.750000	199.000000	316.000000
8.518433	47.355731	100.250000	85.750000	200.000000	316.000000
8.518439	47.355730	100.750000	85.750000	201.000000	316.000000
8.518446	47.355730	101.250000	85.750000	202.000000	316.000000
8.518453	47.355730	101.750000	85.750000	203.000000	316.000000
8.518459	47.355730	102.250000	85.750000	204.000000	316.000000
8.518466	47.355726	102.750000	85.250000	205.000000	317.000000
8.518472	47.355726	103.250000	85.250000	206.000000	317.000000
8.518479	47.355726	103.750000	85.250000	207.000000	317.000000
8.518486	47.355726	104.250000	85.250000	208.000000	317.000000
8.518492	47.355725	104.750000	85.250000	209.000000	317.000000
8.518499	47.355725	105.250000	85.250000	210.000000	317.000000
8.518505	47.355725	105.750000	85.250000	211.000000	317.000000
8.518512	47.355725	106.250000	85.250000	212.000000	317.000000
8.518519	47.355725	106.750000	85.250000	213.000000	317.000000
8.518525	47.355725	107.250000	85.250000	214.000000	317.000000
8.518532	47.355725	107.750000	85.250000	215.000000	317.000000
8.518538	47.355725	108.250000	85.250000	216.000000	317.000000
8.518545	47.355725	108.750000	85.250000	217.000000	317.000000
8.518552	47.355725	109.250000	85.250000	218.000000	317.000000
8.518558	47.355725	109.750000	85.250000	219.000000	317.000000
8.518565	47.355725	110.250000	85.250000	220.000000	317.000000
8.518572	47.355725	110.750000	85.250000	221.000000	317.000000
8.518578	47.355725	111.250000	85.250000	222.000000	317.000000
8.518585	47.355725	111.750000	85.250000	223.000000	317.000000
8.518591	47.355725	112.250000	85.250000	224.000000	317.000000
8.518598	47.355724	112.750000	85.250000	225.000000	317.000000
8.518605	47.355724	113.250000	85.250000	226.000000	317.000000
8.518611	47.355724	113.750000	85.250000	227.000000	317.000000
8.518618	47.355724	114.250000	85.250000	228.000000	317.000000
8.518625	47.355724	114.750000	85.250000	229.000000	317.000000
8.518631	47.355724	115.250000	85.250000	230.000000	317.000000
8.518638	47.355724	115.750000	85.250000	231.000000	317.000000
8.518644	47.355724	116.250000	85.250000	232.000000	317.000000
8.518651	47.355724	116.750000	85.250000	233.000000	317.000000
8.518658	47.355724	117.250000	85.250000	234.000000	317.000000
8.518664	47.355724	117.750000	85.250000	235.000000	317.000000
8.518671	47.355724	118.250000	85.250000	236.000000	317.000000
8.518677	47.355724	118.750000	85.250000	237.000000	317.000000
8.518684	47.355724	119.250000	85.250000	238.000000	317.000000
8.518691	47.355724	119.750000	85.250000	239.000000	317.000000
8.518697	47.355724	120.250000	85.250000	240.000000	317.000000
8.518704	47.355724	120.750000	85.250000	241.000000	317.000000
8.518711	47.355723	121.250000	85.250000	242.000000	317.000000
8.518717	47.355723	121.750000	85.250000	243.000000	317.000000
8.518724	47.355723	122.250000	85.250000	244.000000	317.000000
8.518730	47.355723	122.750000	85.250000	245.000000	317.000000
8.518737	47.355723	123.250000	85.250000	246.000000	317.000000
8.518744	47.355723	123.750000	85.250000	247.000000	317.000000
8.518750	47.355723	124.250000	85.250000	248.000000	317.000000
8.518757	47.355723	124.750000	85.250000	249.000000	317.000000
8.518763	47.355723	125.250000	85.250000	250.000000	317.000000
8.518770	47.355723	125.750000	85.250000	251.000000	317.000000
8.518777	47.355718	126.250000	84.750000	252.000000	318.000000
8.518783	47.355718	126.750000	84.750000	253.000000	318.000000
8.518790	47.355718	127.250000	84.750000	254.000000	318.000000
8.518796	47.355718	127.750000	84.750000	255.000000	318.000000
8.518803	47.355718	128.250000	84.750000	256.000000	318.000000
8.518810	47.355718	128.750000	84.750000	257.000000	318.000000
8.518816	47.355718	129.250000	84.750000	258.000000	318.000000
8.518823	47.355718	129.750000	84.750000	259.000000	318.000000
8.518830	47.355718	130.250000	84.750000	260.000000	318.000000
8.518836	47.355718	130.750000	84.750000	261.000000	318.000000
8.518843	47.355718	131.250000	84.750000	262.000000	318.000000
8.518849	47.355718	131.750000	84.750000	263.000000	318.000000
8.518856	47.355718	132.250000	84.750000	264.000000	318.000000
8.518863	47.355718	132.750000	84.750000	265.000000	318.000000
8.518869	47.355717	133.250000	84.750000	266.000000	318.000000
8.518876	47.355717	133.750000	84.750000	267.000000	318.000000
8.518882	47.355717	134.250000	84.750000	268.000000	318.000000
8.518889	47.355717	134.750000	84.750000	269.000000	318.000000
8.518896	47.355717	135.250000	84.750000	270.000000	318.000000
8.518902	47.355717	135.750000	84.750000	271.000000	318.000000
8.518909	47.355717	136.250000	84.750000	272.000000	318.000000
8.518916	47.355717	136.750000	84.750000	273.000000	318.000000
8.518922	47.355717	137.250000	84.750000	274.000000	318.000000
8.518929	47.355717	137.750000	84.750000	275.000000	318.000000
8.518935	47.355717	138.250000	84.750000	276.000000	318.000000
8.518942	47.355717	138.750000	84.750000	277.000000	318.000000
8.518949	47.355717	139.250000	84.750000	278.000000	318.000000
8.518955	47.355717	139.750000	84.750000	279.000000	318.000000
8.518962	47.355717	140.250000	84.750000	280.000000	318.000000
8.518969	47.355717	140.750000	84.750000	281.000000	318.000000
8.518975	47.355716	141.250000	84.750000	282.000000	318.000000
8.518982	47.355716	141.750000	84.750000	283.000000	318.000000
8.518988	47.355716	142.250000	84.750000	284.000000	318.000000
8.518995	47.355716	142.750000	84.750000	285.000000	318.000000
8.519002	47.355716	143.250000	84.750000	286.000000	318.000000
8.519008	47.355716	143.750000	84.750000	287.000000	318.000000
8.519015	47.355716	144.250000	84.750000	288.000000	318.000000
8.519021	47.355716	144.750000	84.750000	289.000000	318.000000
8.519028	47.355716	145.250000	84.750000	290.000000	318.000000
8.519035	47.355716	145.750000	84.750000	291.000000	318.000000
8.519041	47.355716	146.250000	84.750000	292.000000	318.000000
8.519048	47.355716	146.750000	84.750000	293.000000	318.000000
8.519055	47.355716	147.250000	84.750000	294.000000	318.000000
8.519061	47.355716	147.750000	84.750000	295.000000	318.000000
8.519068	47.355716	148.250000	84.750000	296.000000	318.000000
8.519074	47.355716	148.750000	84.750000	297.000000	318.000000
8.519081	47.355715	149.250000	84.750000	298.000000	318.000000
8.519088	47.355715	149.750000	84.750000	299.000000	318.000000
8.519094	47.355715	150.250000	84.750000	300.000000	318.000000
8.519101	47.355715	150.750000	84.750000	301.000000	318.000000
8.519107	47.355715	151.250000	84.750000	302.000000	318.000000
8.519114	47.355715	151.750000	84.750000	303.000000	318.000000
8.519121	47.355715	152.250000	84.750000	304.000000	318.000000
8.519127	47.355715	152.750000	84.750000	305.000000	318.000000
8.519134	47.355715	153.250000	84.750000	306.000000	318.000000
8.519141	47.355715	153.750000	84.750000	307.000000	318.000000
8.519147	47.355715	154.250000	84.750000	308.000000	318.000000
8.519154	47.355715	154.750000	84.750000	309.000000	318.000000
8.519160	47.355715	155.250000	84.750000	310.000000	318.000000
8.519167	47.355715	155.750000	84.750000	311.000000	318.000000
8.519174	47.355710	156.250000	84.250000	312.000000	319.000000
8.519174	47.355710	156.250000	84.250000	312.000000	319.000000
