# Longitute	Latitude  	x in sim  	y in sim  	Row in arr	Col in arr
-46.760417	25.054537	496.368438	528.917188	152.000000	93.000000
-46.760524	25.054430	493.113563	525.662312	151.000000	94.000000
-46.760631	25.054322	489.858688	522.407438	150.000000	95.000000
-46.760739	25.054215	486.603813	519.152563	149.000000	96.000000
-46.760846	25.054108	483.348938	515.897688	148.000000	97.000000
-46.760953	25.054000	480.094063	512.642812	147.000000	98.000000
-46.761061	25.053893	476.839188	509.387938	146.000000	99.000000
-46.761168	25.053785	473.584313	506.133063	145.000000	100.000000
-46.761275	25.053678	470.329438	502.878188	144.000000	101.000000
-46.761382	25.053570	467.074563	499.623313	143.000000	102.000000
-46.761490	25.053463	463.819688	496.368438	142.000000	103.000000
-46.761597	25.053356	460.564813	493.113563	141.000000	104.000000
-46.761704	25.053248	457.309938	489.858688	140.000000	105.000000
-46.761812	25.053141	454.055063	486.603813	139.000000	106.000000
-46.761919	25.053033	450.800188	483.348938	138.000000	107.000000
-46.762026	25.052926	447.545313	480.094063	137.000000	108.000000
-46.762134	25.052818	444.290438	476.839188	136.000000	109.000000
-46.762241	25.052711	441.035563	473.584313	135.000000	110.000000
-46.762348	25.052604	437.780687	470.329438	134.000000	111.000000
-46.762455	25.052496	434.525813	467.074563	133.000000	112.000000
-46.762563	25.052389	431.270938	463.819688	132.000000	113.000000
-46.762670	25.052281	428.016063	460.564813	131.000000	114.000000
-46.762777	25.052174	424.761188	457.309938	130.000000	115.000000
-46.762885	25.052066	421.506313	454.055063	129.000000	116.000000
-46.762992	25.051959	418.251438	450.800188	128.000000	117.000000
-46.763099	25.051852	414.996563	447.545313	127.000000	118.000000
-46.763206	25.051744	411.741688	444.290438	126.000000	119.000000
-46.763314	25.051637	408.486813	441.035563	125.000000	120.000000
-46.763421	25.051529	405.231938	437.780687	124.000000	121.000000
-46.763528	25.051422	401.977063	434.525813	123.000000	122.000000
-46.763636	25.051314	398.722188	431.270938	122.000000	123.000000
-46.763743	25.051207	395.467313	428.016063	121.000000	124.000000
-46.763850	25.051100	392.212438	424.761188	120.000000	125.000000
-46.763958	25.050992	388.957562	421.506313	119.000000	126.000000
-46.764065	25.050885	385.702688	418.251438	118.000000	127.000000
-46.764172	25.050777	382.447812	414.996563	117.000000	128.000000
-46.764279	25.050670	379.192938	411.741688	116.000000	129.000000
-46.764387	25.050563	375.938063	408.486813	115.000000	130.000000
-46.764494	25.050455	372.683188	405.231938	114.000000	131.000000
-46.764601	25.050348	369.428313	401.977063	113.000000	132.000000
-46.764709	25.050240	366.173438	398.722188	112.000000	133.000000
-46.764816	25.050133	362.918563	395.467313	111.000000	134.000000
-46.764923	25.050025	359.663688	392.212438	110.000000	135.000000
-46.765031	25.049918	356.408813	388.957562	109.000000	136.000000
-46.765138	25.049811	353.153938	385.702688	108.000000	137.000000
-46.765245	25.049703	349.899063	382.447812	107.000000	138.000000
-46.765352	25.049596	346.644188	379.192938	106.000000	139.000000
-46.765460	25.049488	343.389313	375.938063	105.000000	140.000000
-46.765567	25.049381	340.134438	372.683188	104.000000	141.000000
-46.765674	25.049273	336.879563	369.428313	103.000000	142.000000
-46.765782	25.049166	333.624687	366.173438	102.000000	143.000000
-46.765889	25.049059	330.369813	362.918563	101.000000	144.000000
-46.765996	25.048951	327.114937	359.663688	100.000000	145.000000
-46.766103	25.048844	323.860063	356.408813	99.000000	146.000000
-46.766211	25.048736	320.605187	353.153938	98.000000	147.000000
-46.766318	25.048629	317.350313	349.899063	97.000000	148.000000
-46.766425	25.048521	314.095438	346.644188	96.000000	149.000000
-46.766533	25.048414	310.840563	343.389313	95.000000	150.000000
-46.766640	25.048307	307.585688	340.134438	94.000000	151.000000
-46.766747	25.048199	304.330813	336.879563	93.000000	152.000000
-46.766855	25.048092	301.075938	333.624687	92.000000	153.000000
-46.766962	25.047984	297.821063	330.369813	91.000000	154.000000
-46.767069	25.047877	294.566188	327.114937	90.000000	155.000000
-46.767176	25.047769	291.311313	323.860063	89.000000	156.000000
-46.767284	25.047662	288.056438	320.605187	88.000000	157.000000
-46.767391	25.047555	284.801562	317.350313	87.000000	158.000000
-46.767498	25.047447	281.546688	314.095438	86.000000	159.000000
-46.767606	25.047340	278.291812	310.840563	85.000000	160.000000
-46.767713	25.047232	275.036938	307.585688	84.000000	161.000000
-46.767820	25.047125	271.782062	304.330813	83.000000	162.000000
-46.767927	25.047017	268.527188	301.075938	82.000000	163.000000
-46.768035	25.046910	265.272312	297.821063	81.000000	164.000000
-46.768142	25.046803	262.017438	294.566188	80.000000	165.000000
-46.768249	25.046695	258.762563	291.311313	79.000000	166.000000
-46.768357	25.046588	255.507688	288.056438	78.000000	167.000000
-46.768464	25.046480	252.252813	284.801562	77.000000	168.000000
