Path no.	a	b	c	E_P	R_P	I_P	E	crash	S	Length	No. pixel
1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	73.67465029002064	0.00602793678993063	46.76986041913972	110728.11701955734	0.0023400616969669885	0.7637885837417187	1116.27512232115	198.0
2.0	0.30380826716022774	0.30380826716022774	0.3923834656795445	74.23345052020626	0.006070567021035083	46.301358662638336	111567.95673423502	0.0023565914137625432	0.7661547542290993	1124.1695705576458	198.0
3.0	0.2726206628903694	0.2726206628903694	0.4547586742192613	81.86747142695027	0.8196980908716903	40.08771702349895	123041.38425596968	0.27510898198765177	0.8109069951721748	1222.4534575036282	212.0
4.0	0.24070663630827838	0.24070663630827838	0.5185867273834431	82.58962657108808	0.8197557932739022	39.72202953398937	124126.73558090425	0.275125238587553	0.8135115984319747	1233.1390146809997	213.0
5.0	0.20909306417365262	0.20909306417365262	0.5818138716526947	83.06379981282109	0.8354557664029656	39.503108587868155	124839.38654010762	0.27954287635201625	0.8154060346361302	1239.8773477401237	214.0
6.0	0.17876891510895462	0.17876891510895462	0.6424621697820907	83.50783827228089	0.8043440565262867	39.36868080199474	125506.74691856481	0.2707285328919562	0.8168898567349082	1246.6156807992477	215.0
7.0	0.15056638178790074	0.15056638178790074	0.6988672364241985	85.51781648262877	0.793875137297572	38.855126526958884	128527.61096890028	0.2677532832688554	0.8209441173872862	1275.8812433904868	217.0
8.0	0.12508063787386264	0.12508063787386264	0.7498387242522747	87.25479210076206	0.7317948907793133	38.540404823429526	131138.1702148236	0.24932813258104802	0.8256090279482827	1302.8345756269823	221.0
9.0	0.10264161723118406	0.10264161723118406	0.7947167655376318	87.53022631306408	0.7389565860219901	38.49417045415157	131552.12958308542	0.2514164120400769	0.8258182332391332	1306.7817997452298	221.0
10.0	0.08333333333333333	0.08333333333333333	0.8333333333333334	87.53022631306408	0.7389565860219901	38.49417045415157	131552.12958308542	0.2514164120400769	0.8258182332391332	1306.7817997452298	221.0
